iter	MultiClass
201	0.2430303261
202	0.2417437801
203	0.2404889462
204	0.2390275369
205	0.2378868387
206	0.2368875146
207	0.2354405808
208	0.2344243667
209	0.2331066588
210	0.2315371194
211	0.2305242647
212	0.2291617639
213	0.2274920442
214	0.226338303
215	0.2249169181
216	0.2234301289
217	0.2224028727
218	0.2213676264
219	0.2204192249
220	0.2190914208
221	0.2176743358
222	0.217045359
223	0.2159711899
224	0.2153136496
225	0.2142052389
226	0.2126485209
227	0.2115342836
228	0.2108012864
229	0.2097971786
230	0.2085431327
231	0.2080060265
232	0.2068147806
233	0.2058930285
234	0.2050662198
235	0.2035663036
236	0.2025433858
237	0.2018894514
238	0.2013044673
239	0.2003765135
240	0.1992756017
241	0.1983091936
242	0.1973971009
243	0.1959620714
244	0.1951806564
245	0.1943428811
246	0.193436858
247	0.192368431
248	0.1918432518
249	0.1910294589
250	0.1899201627
251	0.1893953696
252	0.1887578137
253	0.1879122524
254	0.1869852987
255	0.1861860775
256	0.1855044545
257	0.1844258044
258	0.1835520026
259	0.1827400354
260	0.1819681725
261	0.1812778264
262	0.1803466349
263	0.1793709087
264	0.1782846343
265	0.1778261696
266	0.1767717675
267	0.1762582599
268	0.1755427501
269	0.1752819343
270	0.1745786638
271	0.1740933008
272	0.1734213364
273	0.172667273
274	0.1717761106
275	0.1706831805
276	0.1698523852
277	0.1690526824
278	0.1683194618
279	0.1673787301
280	0.1666355789
281	0.1658534648
282	0.1647399258
283	0.1641462238
284	0.1635209796
285	0.1625416108
286	0.1618599283
287	0.1613515753
288	0.1606542342
289	0.1600241445
290	0.1595591593
291	0.1586906591
292	0.1581234831
293	0.1577652982
294	0.1573139223
295	0.1565765392
296	0.1558148748
297	0.1554247865
298	0.1547876395
299	0.1540126012
300	0.1531012852
301	0.152354585
302	0.1517763424
303	0.1511901195
304	0.1503762991
305	0.1500250337
306	0.1491652738
307	0.1483944271
308	0.1479011637
309	0.1476599299
310	0.1468509603
311	0.1463039449
312	0.1454978455
313	0.1447952678
314	0.1441348599
315	0.1433875753
316	0.1429201709
317	0.1421530106
318	0.141610615
319	0.1411244551
320	0.1407738063
321	0.1401084926
322	0.139590858
323	0.1389516114
324	0.1383829356
325	0.1381109158
326	0.1374423917
327	0.1368664197
328	0.1361539785
329	0.1355710519
330	0.1350002732
331	0.1345594096
332	0.1338865424
333	0.1333786762
334	0.1325562815
335	0.1320939577
336	0.1316104547
337	0.1313412977
338	0.1308896135
339	0.1306732097
340	0.1299861019
341	0.1295862366
342	0.1290651248
343	0.1287501086
344	0.1281102626
345	0.1275228213
346	0.1271527788
347	0.1266993429
348	0.1262187167
349	0.1256562946
350	0.1251315203
351	0.1247929791
352	0.124173204
353	0.1237481228
354	0.123273342
355	0.1229874452
356	0.1226617032
357	0.1222467551
358	0.1218972794
359	0.1212939923
360	0.1207922536
361	0.1204635318
362	0.1199122453
363	0.1195088528
364	0.1191794557
365	0.1187371917
366	0.1183924566
367	0.1180536631
368	0.1178003632
369	0.1172686419
370	0.1168714411
371	0.1164148455
372	0.1159143428
373	0.1154891938
374	0.1151015267
375	0.1147700607
376	0.1144171906
377	0.1140292669
378	0.1135203132
379	0.1130721589
380	0.1127339394
381	0.1121197444
382	0.111788364
383	0.1114196179
384	0.1109855959
385	0.1106956103
386	0.1102659678
387	0.1098038795
388	0.1094140179
389	0.1089166133
390	0.1085095356
391	0.1081256378
392	0.1077758101
393	0.1074765061
394	0.1072140828
395	0.1068218758
396	0.1065407644
397	0.1061190889
398	0.1056787017
399	0.1054720085
400	0.1052143494
401	0.1049542704
402	0.1046062584
403	0.104249714
404	0.1039414748
405	0.103651328
406	0.1033193151
407	0.1031178364
408	0.1026267748
409	0.102572945
410	0.1022446876
411	0.1021246713
412	0.1019169657
413	0.1017210529
414	0.1013653341
415	0.1011267709
416	0.1006261672
417	0.1002484451
418	0.09982908475
419	0.09961519677
420	0.09925371333
421	0.09895351568
422	0.09854233677
423	0.09827052862
424	0.09787083215
425	0.09763395238
426	0.09732559977
427	0.09702579133
428	0.09665820516
429	0.09626002951
430	0.09588740478
431	0.09578468365
432	0.09544292695
433	0.09504541692
434	0.09467916532
435	0.09437716398
436	0.09414759408
437	0.0939649339
438	0.09365268287
439	0.09340549233
440	0.09316866141
441	0.09288599058
442	0.09263998024
443	0.09232968573
444	0.09203802957
445	0.09168751766
446	0.09147034015
447	0.09127240616
448	0.09088632998
449	0.09064946392
450	0.09041815365
451	0.09012819003
452	0.08986997687
